Province,Country/Region,Lat,Long,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020
,Daily new confirmed cases,,,3,0,0,0,0,0,0,2,3,2,4,3,3,4,3,6,6,0,5,4,0,0,1,2,3,2,5,9,18,35,41,54,112,94,58,139,182,209,219,341,266,306,312,492,434,390,414,503,309
,Total confirmed cases,,,3,3,3,3,3,3,3,5,8,10,14,17,20,24,27,33,39,39,44,48,48,48,49,51,54,56,61,70,88,123,164,218,330,426,482,621,803,1012,1231,1572,1838,2144,2456,2948,3382,3772,4186,4689,4998
,Daily new deaths,,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,2,1,3,5,3,1,6,3,4,5,7,4,10,15,9,7,10,9,10,7,4,9
,Total deaths,,,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,5,5,5,5,5,5,6,6,6,8,9,12,17,20,21,27,30,34,39,46,50,60,75,84,91,101,110,120,127,131,140
,Daily new recovered,,,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,0,4,0,4,6,1,0,0,4,3,0,0,0,0,0,3,3,3,0,7,0,9,8,9,10,2,5,16,4,0
,Total recovered,,,0,0,0,2,2,2,2,2,3,3,3,3,3,3,5,5,5,5,11,11,15,15,19,25,26,26,26,30,33,33,33,33,33,33,36,39,42,42,49,49,58,66,75,85,87,92,108,112,112
,Daily New Tests,,,9,7,10,10,16,24,24,30,27,49,10,46,36,90,65,56,92,82,126,106,50,109,153,264,157,141,180,434,367,468,792,981,905,1148,954,1340,1570,1905,1740,2019,2190,2114,2634,2779,2974,3096,3416,3686,3337
,Total Tests,,,120,127,137,147,163,187,211,241,268,317,327,373,409,499,564,620,712,794,920,1026,1076,1185,1338,1602,1759,1900,2080,2514,2881,3349,4141,5122,6175,7359,8313,9653,11223,13128,14868,16887,19077,21191,23825,26604,29578,32674,36090,39776,39427
,Active Cases,,,3,3,3,1,1,1,1,3,5,7,10,13,16,19,20,25,30,29,28,32,28,28,25,21,22,24,29,32,46,78,114,165,276,364,416,548,722,924,1132,1463,1705,1994,2290,2762,3185,3562,3951,4446,4746
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
